,AMI_Timestep,Day,AMI_Photoperiod,AMI_PPFD,AMI_alpha,AMI_beta,AMI_DCG,AMI_DOP,AMI_CGR,AMI_TEB,AMI_P_GROSS,AMI_P_NET,AMI_T_LIGHT,AMI_VP_SAT,AMI_VP_AIR,AMI_RH,AMI_VPD,AMI_g_S,AMI_g_C,AMI_DTR,AMI_g_A
0,0,0,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,,,,,,,,,,,,,,
3,3,3,,,,,,,,,,,,,,,,,,,
4,4,4,,,,,,,,,,,,,,,,,,,
5,5,5,,,,,,,,,,,,,,,,,,,
6,6,6,,,,,,,,,,,,,,,,,,,
7,7,7,,,,,,,,,,,,,,,,,,,
8,8,8,,,,,,,,,,,,,,,,,,,
9,9,9,,,,,,,,,,,,,,,,,,,
10,0,10,12.0,314.54,0.00691867456539118,0.0,0.09401183558487974,0.10153278243167013,2.8228698841482878,8.53,0.0,1.088099948899071,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.04632128406287926,0.045478632599113326,0.20316022094046737,2.5
11,1,11,12.0,314.54,0.00691867456539118,0.0,0.09401183558487974,0.10153278243167013,2.8228698841482878,8.53,0.0,1.088099948899071,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.04632128406287926,0.045478632599113326,0.20316022094046737,2.5
12,2,12,12.0,314.54,0.0076006751106541676,0.003011771283357833,0.103278946289983,0.11154126199318165,3.101131100512747,11.631131100512746,0.9473225394673729,1.6690194443862676,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.07105149105843435,0.06908796975239137,0.3086268517118479,2.5
13,3,13,12.0,314.54,0.008282675655917155,0.006023542566715666,0.11254605699508628,0.1215497415546932,3.379392316877207,15.010523417389953,1.8946450789347458,2.2499389398734637,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.09578169805398941,0.09224745105279386,0.4120839054744565,2.5
14,4,14,12.0,314.54,0.008964676201180143,0.009035313850073499,0.12181316770018956,0.13155822111620474,3.657653533241667,18.66817695063162,2.8419676184021188,2.83085843536066,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.1205119050495445,0.11496981259398824,0.5135882763663867,2.5
15,5,15,12.0,314.54,0.009646676746443133,0.012047085133431333,0.13108027840529285,0.1415667006777163,3.935914749606127,22.604091700237745,3.7892901578694915,3.4117779308478573,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.1452421120450996,0.13726731419379365,0.6131947309264391,2.5
16,6,16,12.0,314.54,0.01032867729170612,0.015058856416789166,0.14034738911039613,0.15157518023922784,4.214175965970586,26.81826766620833,4.736612697336865,3.992697426335054,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.1699723190406547,0.15915176145133902,0.7109560066269227,2.5
17,7,17,12.0,314.54,0.011010677836969109,0.018070627700146998,0.1496144998154994,0.16158365980073935,4.492437182335046,31.310704848543377,5.6839352368042375,4.57361692182225,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.19470252603620977,0.18063452658966472,0.8069229049808435,2.5
18,8,18,12.0,314.54,0.011692678382232096,0.021082398983504832,0.15888161052060265,0.17159213936225087,4.770698398699505,36.08140324724288,6.63125777627161,5.154536417309447,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.21943273303176486,0.20172656816108286,0.9011443795688543,2.5
19,9,19,12.0,314.54,0.012374678927495084,0.024094170266862665,0.16814872122570595,0.18160061892376245,5.048959615063966,41.130362862306846,7.578580315738983,5.735455912796644,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.24416294002731997,0.2224384496870375,0.9936676193064485,2.5
20,10,20,12.0,314.54,0.013056679472758072,0.0271059415502205,0.17741583193080923,0.191609098485274,5.327220831428426,46.45758369373527,8.525902855206356,6.31637540828384,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.2688931470228751,0.24278035729908,1.0845381272489785,2.5
21,11,21,12.0,314.54,0.01373868001802106,0.030117712833578333,0.1866829426359125,0.2016175780467855,5.6054820477928855,52.063065741528156,9.47322539467373,6.897294903771037,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.29362335401843015,0.26276211644285696,1.1737997952110024,2.5
22,12,22,12.0,314.54,0.01442068056328405,0.03312948411693616,0.19595005334101578,0.21162605760829706,5.883743264157346,57.9468090056855,10.420547934141101,7.478214399258233,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.3183535610139852,0.2823932077026633,1.2614949744570576,2.5
23,13,23,12.0,314.54,0.015102681108547036,0.036141255400293996,0.20521716404611903,0.22163453716980858,6.162004480521804,64.10881348620731,11.367870473608475,8.059133894745429,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.34308376800954027,0.3016827818001079,1.3476645427030642,2.5
24,14,24,12.0,314.54,0.015784681653810022,0.03915302668365183,0.21448427475122228,0.23164301673132007,6.4402656968862635,70.54907918309357,12.315193013075847,8.640053390232627,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.3678139750050954,0.32063967381674563,1.4323479676510649,2.5
25,15,25,12.0,314.54,0.01646668219907301,0.042164797967009664,0.22375138545632559,0.24165149629283164,6.718526913250724,77.2676060963443,13.26251555254322,9.220972885719823,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.39254418200065044,0.3392724166871189,1.5155833672647672,2.5
26,16,26,12.0,314.54,0.017148682744336,0.0451765692503675,0.23301849616142886,0.2516599758543432,6.996788129615184,84.26439422595948,14.209838092010594,9.80189238120702,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.4172743889962056,0.35758925400550345,1.5974075669792978,2.5
27,17,27,12.0,314.54,0.017148682744336,0.0451765692503675,0.23301849616142886,0.2516599758543432,6.996788129615184,91.26118235557466,14.209838092010594,9.80189238120702,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.4172743889962056,0.35758925400550345,1.5974075669792978,2.5
28,18,28,12.0,314.54,0.017148682744336,0.0451765692503675,0.23301849616142886,0.2516599758543432,6.996788129615184,98.25797048518984,14.209838092010594,9.80189238120702,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.4172743889962056,0.35758925400550345,1.5974075669792978,2.5
29,19,29,12.0,314.54,0.017148682744336,0.0451765692503675,0.23301849616142886,0.2516599758543432,6.996788129615184,105.25475861480503,14.209838092010594,9.80189238120702,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.4172743889962056,0.35758925400550345,1.5974075669792978,2.5
30,20,30,12.0,314.54,0.017148682744336,0.0451765692503675,0.23301849616142886,0.2516599758543432,6.996788129615184,112.25154674442021,14.209838092010594,9.80189238120702,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.4172743889962056,0.35758925400550345,1.5974075669792978,2.5
31,21,31,12.0,314.54,0.017148682744336,0.0451765692503675,0.23301849616142886,0.2516599758543432,6.996788129615184,119.2483348740354,14.209838092010594,9.80189238120702,24.35105263,3.0533896667926457,2.47468361480545,0.810470947,0.5787060519871957,0.4172743889962056,0.35758925400550345,1.5974075669792978,2.5
