,Simulation,Timestep,H,A,ALPHA,BETA,CQY,CUE_24,DCG,CGR,TCB,TEB,DOP,VP_SAT,VP_AIR,VPD,P_GROSS,P_NET,g_S,g_A,g_C,DTR,T_LIGHT,T_DARK,RH,CO2,PPFD
0,0,29,8.201978625873437,0.93,0.032686061644218174,0.052297698630749075,0.05623408454919255,0.625,0.8687996061989106,26.08570817612229,518.0929116828901,492.15114557358436,0.9383035746948235,3.304853225322794,278.0085667887118,-274.703713563389,47.07804981258497,41.04471921398142,121.49301852421279,2.5,2.44959393622005,-3550.27535499626,25.677528961749562,20.677528961749562,84.12130519398723,986.3141374747084,900.1935275389892
1,1,29,8.201978625873437,0.93,0.032686061644218174,0.052297698630749075,0.05623408454919255,0.625,0.8687996061989106,26.08570817612229,518.0929116828901,492.15114557358436,0.9383035746948235,2.9068906209577645,244.53143309112716,-241.6245424701694,47.07804981258497,41.04471921398142,106.83083917514267,2.5,2.4428340617601245,-3114.1420630135444,23.533607886337236,18.533607886337236,84.12130519398723,986.3141374747084,900.1935275389892
2,2,29,8.201978625873437,0.93,0.032686061644218174,0.052297698630749075,0.05623408454919255,0.625,0.8687996061989106,26.08570817612229,518.0929116828901,492.15114557358436,0.9383035746948235,3.304853225322794,312.05874310365715,-308.75388987833435,47.07804981258497,41.04471921398142,136.42790778587133,2.5,2.4550126385719917,-3999.167358704479,25.677528961749562,20.677528961749562,94.42438796148883,986.3141374747084,900.1935275389892
3,3,29,8.201978625873437,0.93,0.03345369254737007,0.05352590807579211,0.057554739866443126,0.625,0.8892033316040621,26.698330031411963,526.1284406094782,499.7855490609625,0.9603395981323871,3.304853225322794,278.0085667887118,-274.703713563389,48.18367600547497,42.00865286933565,101.67820940044882,2.5,2.440006647878006,-3536.38018934504,25.677528961749562,20.677528961749562,84.12130519398723,1206.2023128281176,900.1935275389892
4,4,29,8.201978625873437,0.003182505389348009,0.00014957434511306874,0.00023931895218091,0.07519828653925346,0.625,0.00011146894560465527,0.003346855091779774,0.029428562027904358,0.02795643188058917,0.0001203864612530277,3.304853225322794,278.0085667887118,-274.703713563389,0.006040219788648042,0.005266129888615714,0.015587827821966424,2.5,0.015491237922174434,-22.45194985187896,25.677528961749562,20.677528961749562,84.12130519398723,986.3141374747084,25.239203722077214
5,5,29,8.443366654055845,0.93,0.032686061644218174,0.052297698630749075,0.05623408454919255,0.625,0.8943687808325099,26.853422644496106,533.340625932218,506.6353816362056,0.9659182832991108,3.304853225322794,278.0085667887118,-274.703713563389,47.07804981258497,40.86715550124809,120.96742712406525,2.5,2.4493793614592803,-3654.441459652624,25.677528961749562,20.677528961749562,84.12130519398723,986.3141374747084,900.1935275389892
6,6,29,8.443366654055845,0.003812877731257282,0.000182416031298735,0.000291865650077976,0.07654734052584855,0.625,0.00013994481156781846,0.004201842967323749,0.036946384891030463,0.035098184255850824,0.00015114039649324394,3.304853225322794,312.05874310365715,-308.75388987833435,0.007366456601794538,0.006394617632573576,0.017380233713823766,2.5,0.017260238919274397,-28.944074380540734,25.677528961749562,20.677528961749562,94.42438796148883,1206.2023128281176,25.239203722077214
7,7,29,8.443366654055845,0.003812877731257282,0.000182416031298735,0.000291865650077976,0.07654734052584855,0.625,0.00013994481156781846,0.004201842967323749,0.036946384891030463,0.035098184255850824,0.00015114039649324394,2.9068906209577645,244.53143309112716,-241.6245424701694,0.007366456601794538,0.006394617632573576,0.01360971507106984,2.5,0.01353602648560443,-17.763668703704727,23.533607886337236,18.533607886337236,84.12130519398723,1206.2023128281176,25.239203722077214
8,8,29,8.443366654055845,0.003182505389348009,0.00014957434511306874,0.00023931895218091,0.07519828653925346,0.625,0.00011474952827993803,0.003445354586605139,0.03029465823275798,0.028779202613663665,0.00012392949054233307,2.9068906209577645,274.4813677549291,-271.57447713397136,0.006040219788648042,0.005243348064481805,0.015325487552492356,2.5,0.015232111736963155,-22.467228055561733,23.533607886337236,18.533607886337236,94.42438796148883,986.3141374747084,25.239203722077214
9,9,29,8.443366654055845,0.93,0.03345369254737007,0.05352590807579211,0.057554739866443126,0.625,0.9153729973225307,27.484074244608983,541.6126441952784,514.4944691526728,0.9886028371083333,2.9068906209577645,274.4813677549291,-271.57447713397136,48.18367600547497,41.82691907962406,99.96698387509595,2.5,2.4390047431510373,-3597.5100983533234,23.533607886337236,18.533607886337236,94.42438796148883,1206.2023128281176,900.1935275389892
