[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.123439  0.006084
H     0.878566  0.030163,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.121425  0.014117
H     0.876783  0.036349,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   0.000000e+00  0.000000e+00
(TEMP, PPFD)  1.387779e-17  5.662124e-17
(TEMP, H)     0.000000e+00  1.315634e-16
(RH, CO2)     0.000000e+00  0.000000e+00
(RH, PPFD)    1.387779e-17  5.662124e-17
(RH, H)       0.000000e+00  1.315634e-16
(CO2, PPFD)   1.387779e-17  5.662124e-17
(CO2, H)      0.000000e+00  1.315634e-16
(PPFD, H)     1.187052e-03  2.949440e-02]
