[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.207222  0.010354
PPFD  0.794813  0.029376
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.205184  0.020616
PPFD  0.792620  0.038166
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   0.000000e+00  4.769816e-17
(TEMP, PPFD)  0.000000e+00  1.433918e-16
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)     0.000000e+00  4.769816e-17
(RH, PPFD)    0.000000e+00  1.433918e-16
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)   1.929755e-03  3.832859e-02
(CO2, H)      1.887176e-04  2.749796e-02
(PPFD, H)    -3.357517e-07  5.059164e-02]
