[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.013018  0.007260
PPFD  0.992187  0.242017
H     0.043880  0.020799,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.037225  0.047645
PPFD  0.982409  0.287967
H     0.007773  0.063405,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   2.081668e-17  2.877833e-17
(TEMP, PPFD)  0.000000e+00  2.060274e-16
(TEMP, H)     5.204170e-18  2.760329e-17
(RH, CO2)     2.081668e-17  2.877833e-17
(RH, PPFD)    0.000000e+00  2.060274e-16
(RH, H)       5.204170e-18  2.760329e-17
(CO2, PPFD)  -4.321587e-02  9.015936e-02
(CO2, H)     -2.684211e-02  6.829894e-02
(PPFD, H)     1.631370e-02  3.659128e-01]
