[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.015292  0.009639
PPFD  0.791539  0.331869
H     0.279788  0.143951,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.009318  0.045807
PPFD  0.688940  0.317159
H     0.247306  0.185226,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)  -3.469447e-18  1.795023e-17
(TEMP, PPFD)  0.000000e+00  1.689028e-16
(TEMP, H)     0.000000e+00  5.415899e-17
(RH, CO2)    -3.469447e-18  1.795023e-17
(RH, PPFD)    0.000000e+00  1.689028e-16
(RH, H)       0.000000e+00  5.415899e-17
(CO2, PPFD)  -3.085558e-02  9.197833e-02
(CO2, H)      2.436658e-02  6.591773e-02
(PPFD, H)     4.419415e-02  4.935240e-01]
