[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.765413  0.320656
H     0.150458  0.073338,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.751211  0.322507
H     0.069907  0.162926,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  0.000000e+00
(TEMP, PPFD)  0.000000  1.796771e-16
(TEMP, H)     0.000000  4.728414e-17
(RH, CO2)     0.000000  0.000000e+00
(RH, PPFD)    0.000000  1.796771e-16
(RH, H)       0.000000  4.728414e-17
(CO2, PPFD)   0.000000  1.796771e-16
(CO2, H)      0.000000  4.728414e-17
(PPFD, H)     0.072847  3.632847e-01]
