[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.726026  0.313292
H     0.389230  0.171744,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.641293  0.268171
H     0.376923  0.200573,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   0.000000e+00  0.000000e+00
(TEMP, PPFD)  0.000000e+00  1.646186e-16
(TEMP, H)    -5.551115e-17  1.073324e-16
(RH, CO2)     0.000000e+00  0.000000e+00
(RH, PPFD)    0.000000e+00  1.646186e-16
(RH, H)      -5.551115e-17  1.073324e-16
(CO2, PPFD)   0.000000e+00  1.646186e-16
(CO2, H)     -5.551115e-17  1.073324e-16
(PPFD, H)    -4.960561e-02  4.111810e-01]
