[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.726026  0.292129
H     0.389230  0.183531,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.641293  0.307741
H     0.376923  0.200413,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   0.000000e+00  0.000000e+00
(TEMP, PPFD)  0.000000e+00  1.298619e-16
(TEMP, H)    -5.551115e-17  9.703516e-17
(RH, CO2)     0.000000e+00  0.000000e+00
(RH, PPFD)    0.000000e+00  1.298619e-16
(RH, H)      -5.551115e-17  9.703516e-17
(CO2, PPFD)   0.000000e+00  1.298619e-16
(CO2, H)     -5.551115e-17  9.703516e-17
(PPFD, H)    -4.960561e-02  5.012069e-01]
