[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.012710  0.007627
PPFD  0.817626  0.232201
H     0.298098  0.133595,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.019490  0.031709
PPFD  0.735811  0.343739
H     0.285110  0.189536,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   6.938894e-18  1.800769e-17
(TEMP, PPFD)  0.000000e+00  2.105481e-16
(TEMP, H)     0.000000e+00  6.576521e-17
(RH, CO2)     6.938894e-18  1.800769e-17
(RH, PPFD)    0.000000e+00  2.105481e-16
(RH, H)       0.000000e+00  6.576521e-17
(CO2, PPFD)   6.686450e-03  8.087118e-02
(CO2, H)      2.734148e-04  5.892691e-02
(PPFD, H)     1.232952e-01  4.740822e-01]
