[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.862257  0.377004
H     0.409157  0.176419,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.706656  0.444894
H     0.309742  0.218593,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  0.000000e+00
(TEMP, PPFD)  0.000000  1.594944e-16
(TEMP, H)     0.000000  6.690083e-17
(RH, CO2)     0.000000  0.000000e+00
(RH, PPFD)    0.000000  1.594944e-16
(RH, H)       0.000000  6.690083e-17
(CO2, PPFD)   0.000000  1.594944e-16
(CO2, H)      0.000000  6.690083e-17
(PPFD, H)     0.028402  5.571892e-01]
