[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.284744  0.125637
PPFD  0.729745  0.221794
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.176300  0.255638
PPFD  0.735106  0.266233
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   2.775558e-17  7.247299e-17
(TEMP, PPFD)  0.000000e+00  1.537730e-16
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)     2.775558e-17  7.247299e-17
(RH, PPFD)    0.000000e+00  1.537730e-16
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)   1.823993e-01  4.934870e-01
(CO2, H)      8.287724e-02  3.774342e-01
(PPFD, H)    -1.420686e-01  4.135714e-01]
